(simulator.cpp):  --  INFO: Simulator started. Log file opened.
 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.0560 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:05
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.3700 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:06
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.6840 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:07
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.015 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:07
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.9980 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:08
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0120 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:09
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0260 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:10
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0400 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:11
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0540 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:12
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0680 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:13
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0820 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.0960 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.4100 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:16
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 1.7240 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:17
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.03 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:17
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.0380 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:18
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.0520 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:19
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.0660 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:20
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.0800 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:21
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.0940 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:22
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.1080 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:23
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.1220 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:24
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:24
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.1360 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:25
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.4500 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:26
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 2.7640 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:27
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.045 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:27
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.0780 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:28
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.0920 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:29
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1060 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:30
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1200 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:31
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1340 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:32
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1480 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:33
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1620 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:34
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:34
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.1760 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:35
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.4900 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:36
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 3.8040 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:37
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.06 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:37
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1180 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:38
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1320 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:39
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1460 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:40
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1600 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:41
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1740 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:42
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.1880 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:43
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.2020 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:44
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:44
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.2160 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:45
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.5300 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:46
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 4.8440 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:47
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.075 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:47
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.1580 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:48
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.1720 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:49
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.1860 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:50
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.2000 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:51
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.2140 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:52
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.2280 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:53
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.2420 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 00:54
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:54
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.2560 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:55
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.5700 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:56
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 5.8840 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:57
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.09 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:57
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.1980 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:58
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2120 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:59
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2260 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:00
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2400 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:01
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2540 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:02
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2680 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:03
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2820 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 01:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:04
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.2960 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:05
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.6100 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:06
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 6.9240 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 01:07
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.105 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:07
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.2380 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:08
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.2520 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:09
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.2660 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:10
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.2800 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:11
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.2940 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:12
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.3080 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:13
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.3220 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 01:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:14
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.3360 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:15
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.6500 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:16
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 7.9640 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 01:17
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.12 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:17
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.2780 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:18
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.2920 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:19
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3060 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:20
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3200 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:21
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3340 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:22
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3480 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:23
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3620 kWh

 (Model.cpp):  --  INFO: Refrigerator :: ON at Day: 0, Time: 01:24
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:24
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.3760 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:25
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 8.6900 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:26
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.0040 kWh

 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 01:27
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0.135 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:27
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.3140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.3180 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:28
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.3320 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:29
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.3460 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:30
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.3600 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:31
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 9.3740 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 01:32
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
